level_0,index,Artists,Title
0,1306,Sam Feldt ,Post Malone
1,7333,Quality Control ,100 Racks (Offset feat. Playboi Carti)
2,17,Drake ,God's Plan
3,10277,Francis and the Lights ,May I Have This Dance (Remix)
4,5291,Future ,Trapped In The Sun
5,10606,Kiiara ,Intention
6,3830,Pentatonix ,Winter Wonderland / Don't Worry Be Happy
7,9080,H.E.R. ,I Can't Breathe
8,2711,Bo Burnham ,Look Who’s Inside Again
9,2069,Kendrick Lamar ,BLOOD.
10,8165,5 Seconds of Summer ,Permanent Vacation
11,7676,Giveon ,Lost Me
12,9619,Joey Bada$$ ,Make Me Feel
13,8781,N.E.R.D ,Don't Don't Do It!
14,4381,Halsey ,Still Learning
15,7437,Lil Wayne ,Get Outta My Head (ft. XXXTentacion)
16,3789,Stevie Wonder ,Superstition  Single Version
17,2013,Twenty One Pilots ,Level of Concern
18,6738,Big Sean ,Dark Sky (Skyscrapers)
19,10907,Destiny's Child ,Carol of the Bells a.k.a Opera of the Bells
20,1834,Daniel Caesar ,Get You
21,532,Ritt Momney ,Put Your Records On
22,3802,One Direction ,A.M.
23,7575,ScHoolboy Q ,Attention
24,9629,Lauv ,All 4 Nothing (I'm So In Love)
25,8211,$uicideboy$ ,All Dogs Go To Heaven
26,5918,Bing Crosby ,Adeste Fideles
27,10496,Carly Rae Jepsen ,Higher
28,9537,BTS ,Trivia 轉 : Seesaw
29,4648,James Arthur ,Rewrite The Stars
30,9348,Robyn ,Missing U
31,2389,Taylor Swift ,I Bet You Think About Me
32,9648,YoungBoy Never Broke Again ,Break Or Make Me
33,7674,G,Eazy  Down
34,9800,The Carters ,713
35,565,Sia ,Chandelier
36,6661,One Direction ,Spaces
37,3723,Taylor Swift ,Come Back...Be Here (Taylor's Version)
38,1324,Nicki Minaj ,Bed
39,997,Harry Styles ,Daylight
40,7216,Eminem ,Favorite Bitch
41,9215,Florence + The Machine ,Sky Full Of Song
42,337,The Weeknd ,I Feel It Coming
43,7167,Big Sean ,Friday Night Cypher
44,3218,Drake ,Madonna
45,6412,$uicideboy$ ,"No Matter Which Direction I'm Going In, I Never Chase These Hoes"
46,7187,Dustin Lynch ,Thinking 'Bout You
47,1708,Kanye West ,Ghost Town
48,5653,"Tyler, The Creator ",Droppin' Seeds
49,800,Ella Mai ,Trip
50,4396,Kendrick Lamar ,untitled 05 | 09.21.2014.
51,7394,Machine Gun Kelly ,sid & nancy
52,1510,Flo Rida ,"I Don't Like It, I Love It"
53,208,The Weeknd ,Can't Feel My Face
54,4181,YG ,FTP
55,6692,Afrojack ,SummerThing!
56,4345,Future ,CHICKENS
57,50,Khalid ,Young Dumb & Broke
58,488,Post Malone ,Ball For Me
59,3511,Drake ,Company
60,8140,Katy Perry ,California Gurls
61,8108,Nicki Minaj ,Best I Ever Had Remix
62,3482,A Boogie Wit da Hoodie ,Me and My Guitar
63,2662,Lil Uzi Vert ,Venetia
64,4200,Galantis ,Bones
65,6620,Trippie Redd ,Kid That Kidd
66,3410,Beyoncé ,SUMMER RENAISSANCE
67,9490,Nas ,The Pressure
68,8639,Agust D ,Strange
69,3305,M City JR ,Addicted to My Ex
70,3390,Miley Cyrus ,Angels Like You
71,2821,Luke Bryan ,"Huntin', Fishin' And Lovin' Every Day"
72,5977,Summer Walker ,Circus
73,7243,Young Thug ,Recognize Real
74,9694,Meat Loaf ,Bat Out of Hell
75,10755,Chris Stapleton ,Might As Well Get Stoned
76,5346,Lil Baby ,Perfect Timing
77,4372,Internet Money ,Lemonade (Feat. Roddy Ricch & Don Toliver) [Remix]
78,4984,Taylor Swift ,The Best Day (Taylor’s Version)
79,2035,BIA ,WHOLE LOTTA MONEY
80,9656,Florida Georgia Line ,Long Live
81,1744,Nevada ,The Mack
82,8876,Rod Wave ,Shock Da World
83,4489,iLoveMemphis ,"""Hit the Quan"" #HTQ"
84,10771,gnash ,I Hate U I Love U
85,5183,Ski Mask The Slump God ,Carbonated Water
86,81,Lil Tecca ,Ransom
87,5597,Chance the Rapper ,My Own Thing
88,2085,Drake ,Madiba Riddim
89,9139,Bon Iver ,00000 Million
90,6193,BLACKPINK ,DDUDU DDUDU
91,3378,Big Sean ,Living Single
92,7213,Polo G ,Start Up Again
93,6537,Fifth Harmony ,Write On Me
94,5806,Trippie Redd ,Leray
95,3003,Ed Sheeran ,The A Team
96,1490,Eminem ,Rap God
97,3184,Eli Young Band ,Love Ain't
98,10911,The Lumineers ,Stubborn Love
99,8196,Twenty One Pilots ,Hometown
100,8089,Carrie Underwood ,The Champion
101,10243,LANCO ,Born to Love You
102,7986,John Mellencamp ,Pink Houses
103,9304,Giveon ,Stuck On You
104,962,Ariana Grande ,pov
105,9941,Russ ,Voicemail
106,9717,Vicente Fernández ,Estos Celos
107,335,Bad Bunny ,MIA
108,5966,6LACK ,Unfair
109,8801,Madvillain ,Accordion
110,5647,Kendrick Lamar ,You Ain't Gotta Lie (Momma Said)
111,4892,The Weeknd ,The Hills  Remix
112,3500,Metro Boomin ,No More
113,4227,Guns N' Roses ,Sweet Child O' Mine
114,7124,The Neighbourhood ,R.I.P. 2 My Youth
115,3676,Taylor Swift ,This Love (Taylor’s Version)
116,6926,Linkin Park ,Bleed It Out
117,8061,2 Chainz ,Saturday Night
118,6698,G,Eazy  Sad Boy
119,1805,Ed Sheeran ,Happier
120,8529,Elton John ,Tiny Dancer
121,10204,R3HAB ,The Wave
122,8823,Offset ,54321
123,3953,Harry Styles ,Carolina
124,2103,Lizzo ,2 Be Loved (Am I Ready)
125,9050,The Lumineers ,Left For Denver
126,2698,Why Don't We ,I Don't Belong In This Club
127,1410,Billie Eilish ,TV
128,2922,Starley ,Call On Me  Ryan Riback Remix
129,6054,Future ,Too Comfortable
130,8698,Big Sean ,Full Circle
131,8295,The Beatles ,Something  Remastered 2009
132,8569,Polo G ,Heating Up
133,8796,Kehlani ,Footsteps
134,5379,Megan Thee Stallion ,Eat It
135,2588,Myke Towers ,Bandido
136,10429,Marc E. Bassy ,Morning
137,9787,Lil Tecca ,ABOUT YOU
138,1668,Labrinth ,Still Don't Know My Name
139,8948,Demi Lovato ,Ruin The Friendship
